instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_category,weather_category
16,2011-01-16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Musim Semi,Berkabut/Berawan
17,2011-01-17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Musim Semi,Berkabut/Berawan
18,2011-01-18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Musim Semi,Berkabut/Berawan
19,2011-01-19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Musim Semi,Salju Ringan/Hujan Ringan
20,2011-01-20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Musim Semi,Salju Ringan/Hujan Ringan
21,2011-01-21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Musim Semi,Berkabut/Berawan
22,2011-01-22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,Musim Semi,Berkabut/Berawan
23,2011-01-23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Musim Semi,Berkabut/Berawan
24,2011-01-24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Musim Semi,Berkabut/Berawan
25,2011-01-25,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Musim Semi,Berkabut/Berawan
26,2011-01-26,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Musim Semi,Berkabut/Berawan
27,2011-01-27,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Musim Semi,Berkabut/Berawan
28,2011-01-28,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Musim Semi,Berkabut/Berawan
29,2011-01-29,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Musim Semi,Berkabut/Berawan
30,2011-01-30,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Musim Semi,Salju Ringan/Hujan Ringan
31,2011-01-31,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Musim Semi,Berkabut/Berawan
32,2011-02-01,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Musim Semi,Salju Ringan/Hujan Ringan
33,2011-02-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Musim Semi,Berkabut/Berawan
34,2011-02-03,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Musim Semi,Berkabut/Berawan
35,2011-02-04,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Musim Semi,Berkabut/Berawan
36,2011-02-05,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Musim Semi,Berkabut/Berawan
37,2011-02-06,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Musim Semi,Berkabut/Berawan
38,2011-02-07,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Musim Semi,Salju Ringan/Hujan Ringan
39,2011-02-08,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Musim Semi,Salju Ringan/Hujan Ringan
40,2011-02-09,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Musim Semi,Salju Ringan/Hujan Ringan
41,2011-02-10,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Musim Semi,Cerah/Sedikit Berawan
42,2011-02-11,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Musim Semi,Berkabut/Berawan
43,2011-02-12,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Musim Semi,Cerah/Sedikit Berawan
44,2011-02-13,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Musim Semi,Cerah/Sedikit Berawan
45,2011-02-14,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Musim Semi,Cerah/Sedikit Berawan
46,2011-02-15,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Musim Semi,Cerah/Sedikit Berawan
47,2011-02-16,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Musim Semi,Cerah/Sedikit Berawan
48,2011-02-17,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Musim Semi,Cerah/Sedikit Berawan
49,2011-02-18,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Musim Semi,Cerah/Sedikit Berawan
50,2011-02-19,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Musim Semi,Cerah/Sedikit Berawan
51,2011-02-20,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Musim Semi,Cerah/Sedikit Berawan
52,2011-02-21,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Musim Semi,Cerah/Sedikit Berawan
53,2011-02-22,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Musim Semi,Cerah/Sedikit Berawan
54,2011-02-23,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Musim Semi,Cerah/Sedikit Berawan
55,2011-02-24,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Musim Semi,Cerah/Sedikit Berawan
56,2011-02-25,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Musim Semi,Cerah/Sedikit Berawan
57,2011-02-26,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Musim Semi,Cerah/Sedikit Berawan
58,2011-02-27,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Musim Semi,Cerah/Sedikit Berawan
59,2011-02-28,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Musim Semi,Cerah/Sedikit Berawan
60,2011-03-01,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Musim Semi,Cerah/Sedikit Berawan
61,2011-03-02,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Musim Semi,Cerah/Sedikit Berawan
62,2011-03-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Musim Semi,Cerah/Sedikit Berawan
63,2011-03-04,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Musim Semi,Cerah/Sedikit Berawan
64,2011-03-05,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Musim Semi,Cerah/Sedikit Berawan
65,2011-03-06,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,Musim Semi,Cerah/Sedikit Berawan
66,2011-03-07,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Musim Semi,Cerah/Sedikit Berawan
67,2011-03-08,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Musim Semi,Cerah/Sedikit Berawan
68,2011-03-09,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Musim Semi,Cerah/Sedikit Berawan
69,2011-03-10,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Musim Semi,Cerah/Sedikit Berawan
70,2011-03-11,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Musim Semi,Cerah/Sedikit Berawan
71,2011-03-12,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Musim Semi,Cerah/Sedikit Berawan
72,2011-03-13,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Musim Semi,Cerah/Sedikit Berawan
73,2011-03-14,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Musim Semi,Cerah/Sedikit Berawan
74,2011-03-15,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Musim Semi,Cerah/Sedikit Berawan
75,2011-03-16,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Musim Semi,Cerah/Sedikit Berawan
76,2011-03-17,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Musim Semi,Cerah/Sedikit Berawan
77,2011-03-18,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Musim Semi,Cerah/Sedikit Berawan
78,2011-03-19,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Musim Semi,Cerah/Sedikit Berawan
79,2011-03-20,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Musim Semi,Berkabut/Berawan
80,2011-03-21,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Musim Semi,Cerah/Sedikit Berawan
81,2011-03-22,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Musim Semi,Cerah/Sedikit Berawan
82,2011-03-23,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,Musim Semi,Cerah/Sedikit Berawan
83,2011-03-24,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Musim Semi,Cerah/Sedikit Berawan
84,2011-03-25,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Musim Semi,Cerah/Sedikit Berawan
85,2011-03-26,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Musim Semi,Cerah/Sedikit Berawan
86,2011-03-27,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Musim Semi,Cerah/Sedikit Berawan
87,2011-03-28,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,Musim Semi,Cerah/Sedikit Berawan
88,2011-03-29,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Musim Semi,Cerah/Sedikit Berawan
89,2011-03-30,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Musim Semi,Cerah/Sedikit Berawan
90,2011-03-31,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,Musim Semi,Cerah/Sedikit Berawan
91,2011-04-01,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Musim Semi,Cerah/Sedikit Berawan
92,2011-04-02,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Musim Semi,Cerah/Sedikit Berawan
93,2011-04-03,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,Musim Semi,Cerah/Sedikit Berawan
94,2011-04-04,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,Musim Semi,Cerah/Sedikit Berawan
95,2011-04-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,Musim Semi,Cerah/Sedikit Berawan
96,2011-04-06,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Musim Semi,Cerah/Sedikit Berawan
97,2011-04-07,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Musim Semi,Cerah/Sedikit Berawan
98,2011-04-08,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,Musim Semi,Cerah/Sedikit Berawan
99,2011-04-09,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,Musim Semi,Cerah/Sedikit Berawan
100,2011-04-10,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Musim Semi,Cerah/Sedikit Berawan
101,2011-04-11,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,Musim Semi,Cerah/Sedikit Berawan
102,2011-04-12,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,Musim Semi,Cerah/Sedikit Berawan
103,2011-04-13,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Musim Semi,Cerah/Sedikit Berawan
104,2011-04-14,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Musim Semi,Cerah/Sedikit Berawan
105,2011-04-15,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Musim Semi,Cerah/Sedikit Berawan
106,2011-04-16,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,Musim Semi,Cerah/Sedikit Berawan
107,2011-04-17,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,Musim Semi,Cerah/Sedikit Berawan
108,2011-04-18,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Musim Semi,Cerah/Sedikit Berawan
109,2011-04-19,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,Musim Semi,Cerah/Sedikit Berawan
110,2011-04-20,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Musim Semi,Cerah/Sedikit Berawan
111,2011-04-21,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Musim Semi,Cerah/Sedikit Berawan
112,2011-04-22,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Musim Semi,Cerah/Sedikit Berawan
113,2011-04-23,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,Musim Semi,Cerah/Sedikit Berawan
114,2011-04-24,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,Musim Semi,Cerah/Sedikit Berawan
115,2011-04-25,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,Musim Semi,Cerah/Sedikit Berawan
116,2011-04-26,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,Musim Semi,Cerah/Sedikit Berawan
117,2011-04-27,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,Musim Semi,Cerah/Sedikit Berawan
118,2011-04-28,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,Musim Semi,Cerah/Sedikit Berawan
119,2011-04-29,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,Musim Semi,Berkabut/Berawan
120,2011-04-30,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Musim Semi,Berkabut/Berawan
121,2011-05-01,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Musim Semi,Berkabut/Berawan
122,2011-05-02,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,Musim Semi,Berkabut/Berawan
123,2011-05-03,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,Musim Semi,Cerah/Sedikit Berawan
124,2011-05-04,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,Musim Semi,Berkabut/Berawan
125,2011-05-05,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,Musim Semi,Cerah/Sedikit Berawan
126,2011-05-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Musim Semi,Cerah/Sedikit Berawan
127,2011-05-07,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,Musim Semi,Cerah/Sedikit Berawan
128,2011-05-08,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Musim Semi,Cerah/Sedikit Berawan
129,2011-05-09,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Musim Semi,Cerah/Sedikit Berawan
130,2011-05-10,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,Musim Semi,Cerah/Sedikit Berawan
131,2011-05-11,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Musim Semi,Cerah/Sedikit Berawan
132,2011-05-12,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Musim Semi,Cerah/Sedikit Berawan
133,2011-05-13,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Musim Semi,Cerah/Sedikit Berawan
134,2011-05-14,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Musim Semi,Cerah/Sedikit Berawan
135,2011-05-15,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Musim Semi,Cerah/Sedikit Berawan
136,2011-05-16,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Musim Semi,Berkabut/Berawan
137,2011-05-17,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Musim Semi,Berkabut/Berawan
138,2011-05-18,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,Musim Semi,Berkabut/Berawan
139,2011-05-19,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,Musim Semi,Berkabut/Berawan
140,2011-05-20,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,Musim Semi,Berkabut/Berawan
141,2011-05-21,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,Musim Semi,Berkabut/Berawan
142,2011-05-22,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Musim Semi,Berkabut/Berawan
143,2011-05-23,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,Musim Semi,Salju Ringan/Hujan Ringan
144,2011-05-24,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,Musim Semi,Berkabut/Berawan
145,2011-05-25,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Musim Semi,Cerah/Sedikit Berawan
146,2011-05-26,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,Musim Semi,Cerah/Sedikit Berawan
147,2011-05-27,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Musim Semi,Cerah/Sedikit Berawan
148,2011-05-28,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,Musim Semi,Cerah/Sedikit Berawan
149,2011-05-29,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,Musim Semi,Berkabut/Berawan
150,2011-05-30,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,Musim Semi,Berkabut/Berawan
151,2011-05-31,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Musim Semi,Berkabut/Berawan
152,2011-06-01,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,Musim Semi,Berkabut/Berawan
153,2011-06-02,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Musim Semi,Berkabut/Berawan
154,2011-06-03,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Musim Semi,Berkabut/Berawan
155,2011-06-04,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,Musim Semi,Berkabut/Berawan
156,2011-06-05,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Musim Semi,Cerah/Sedikit Berawan
157,2011-06-06,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,Musim Semi,Cerah/Sedikit Berawan
158,2011-06-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Musim Semi,Cerah/Sedikit Berawan
159,2011-06-08,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,Musim Semi,Cerah/Sedikit Berawan
160,2011-06-09,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,Musim Semi,Berkabut/Berawan
161,2011-06-10,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,Musim Semi,Berkabut/Berawan
162,2011-06-11,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,Musim Semi,Berkabut/Berawan
163,2011-06-12,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,Musim Semi,Berkabut/Berawan
164,2011-06-13,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,Musim Semi,Berkabut/Berawan
165,2011-06-14,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,Musim Semi,Salju Ringan/Hujan Ringan
166,2011-06-15,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,Musim Semi,Salju Ringan/Hujan Ringan
167,2011-06-16,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,Musim Semi,Berkabut/Berawan
168,2011-06-17,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,Musim Semi,Berkabut/Berawan
169,2011-06-18,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,Musim Semi,Berkabut/Berawan
170,2011-06-19,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,Musim Semi,Salju Ringan/Hujan Ringan
171,2011-06-20,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,Musim Semi,Salju Ringan/Hujan Ringan
172,2011-06-21,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,Musim Semi,Berkabut/Berawan
173,2011-06-22,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,Musim Semi,Berkabut/Berawan
174,2011-06-23,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,Musim Semi,Berkabut/Berawan
175,2011-06-24,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,Musim Semi,Cerah/Sedikit Berawan
176,2011-06-25,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,Musim Semi,Cerah/Sedikit Berawan
177,2011-06-26,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,Musim Semi,Cerah/Sedikit Berawan
178,2011-06-27,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,Musim Semi,Cerah/Sedikit Berawan
179,2011-06-28,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,Musim Semi,Cerah/Sedikit Berawan
180,2011-06-29,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,Musim Semi,Cerah/Sedikit Berawan
181,2011-06-30,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,Musim Semi,Cerah/Sedikit Berawan
182,2011-07-01,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,Musim Semi,Cerah/Sedikit Berawan
183,2011-07-02,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,Musim Semi,Cerah/Sedikit Berawan
184,2011-07-03,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,Musim Semi,Cerah/Sedikit Berawan
185,2011-07-04,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,Musim Semi,Cerah/Sedikit Berawan
186,2011-07-05,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,Musim Semi,Cerah/Sedikit Berawan
187,2011-07-06,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,Musim Semi,Cerah/Sedikit Berawan
188,2011-07-07,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,Musim Semi,Cerah/Sedikit Berawan
189,2011-07-08,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,Musim Semi,Cerah/Sedikit Berawan
190,2011-07-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Musim Semi,Cerah/Sedikit Berawan
191,2011-07-10,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Musim Semi,Cerah/Sedikit Berawan
192,2011-07-11,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,Musim Semi,Cerah/Sedikit Berawan
193,2011-07-12,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,Musim Semi,Cerah/Sedikit Berawan
194,2011-07-13,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,Musim Semi,Cerah/Sedikit Berawan
195,2011-07-14,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,Musim Semi,Cerah/Sedikit Berawan
196,2011-07-15,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,Musim Semi,Cerah/Sedikit Berawan
197,2011-07-16,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,Musim Semi,Cerah/Sedikit Berawan
198,2011-07-17,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,Musim Semi,Cerah/Sedikit Berawan
